Current Distance,,dis_0,dis_0,dis_0,dis_0,dis_1,dis_1,dis_1,dis_1,dis_2,dis_2,dis_2,dis_2,dis_3,dis_3,dis_3,dis_3,dis_4,dis_4,dis_out,dis_out,dis_out,dis_out,dis_out,dis_out,dis_out
Current Colour,,white,yellow,brown,lilas,yellow,blue,brown,lilas,blue,red,brown,lilas,red,black,brown,lilas,black,brown,white,yellow,blue,red,black,brown,lilas
Previous State,Action,,,,,,,,,,,,,,,,,,,,,,,,,
"('dis_1', 'yellow')",left,0.0,0.0,0.0,0.0,8592.69856841228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_1', 'blue')",forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9017.89751686676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_1', 'blue')",right,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9200.997364418692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_1', 'brown')",forward,0.0,0.0,0.0,0.0,8274.622146279913,0.0,8541.180238990932,0.0,9047.792840450516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8663.438161321117,0.0,0.0,0.0,8839.41135628111,0.0
"('dis_1', 'brown')",right,0.0,0.0,0.0,0.0,0.0,0.0,8455.768436601022,0.0,0.0,0.0,9200.997364418692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_1', 'brown')",left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8928.678841698094,0.0
"('dis_1', 'brown')",stop,0.0,0.0,0.0,0.0,0.0,0.0,201.8536614002685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_1', 'lilas')",forward,0.0,0.0,0.0,0.0,0.0,9020.89751686676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_2', 'blue')",forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9108.987390774506,9627.293112130046,9200.997364418692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_2', 'blue')",right,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8781.418766271474,0.0,9181.80193895165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
